name,meal_type,calories,protein_g,carbs_g,fat_g,food_type,cuisine,is_healthy,tags
Vegetable Poha,breakfast,310,8.2,31.8,11.2,vegetarian,mixed,1,weight_loss|light
Protein Shake,snack,121,11.3,12.3,1.9,vegetarian,mixed,1,muscle_gain|high_protein
Tofu Scramble,breakfast,267,11.7,13.5,16.1,vegan,mixed,1,improve_stamina|carb_rich
Upma,breakfast,441,14.7,46.9,17.7,vegetarian,mixed,0,balanced|beginner
Buttermilk,snack,230,24.6,12.5,7.0,vegetarian,south_indian,1,muscle_gain|high_protein
Tofu Curry,dinner,659,14.0,48.7,17.5,vegan,mixed,0,balanced|beginner
Roti Sabji,dinner,464,10.6,42.9,14.3,vegetarian,north_indian,0,improve_stamina|carb_rich
Dal Rice,lunch,448,39.5,21.9,15.1,vegetarian,north_indian,1,muscle_gain|high_protein
Buttermilk,snack,98,3.3,13.0,2.8,vegetarian,north_indian,1,improve_stamina|carb_rich
Rajma Chawal,lunch,448,11.3,32.4,19.5,vegetarian,north_indian,0,balanced|beginner
Pav Bhaji,lunch,605,12.6,67.1,8.5,vegetarian,mixed,1,weight_loss|light
Tofu Curry,dinner,387,9.2,55.3,20.6,vegan,north_indian,0,weight_loss|light
Corn Chaat,snack,97,1.8,6.8,6.1,vegan,south_indian,1,weight_loss|light
Protein Shake,snack,215,17.6,27.8,4.8,vegetarian,south_indian,1,improve_stamina|carb_rich
Vegetable Soup,dinner,533,10.9,52.0,20.6,vegan,south_indian,0,weight_loss|light
Corn Chaat,snack,208,11.9,10.5,11.3,vegan,north_indian,1,muscle_gain|high_protein
Pav Bhaji,lunch,635,12.8,35.1,18.0,vegetarian,north_indian,1,improve_stamina|carb_rich
Kadhi Rice,lunch,404,14.8,53.9,11.1,vegetarian,south_indian,1,balanced|beginner
Corn Chaat,snack,130,8.6,15.5,2.5,vegan,south_indian,1,balanced|beginner
Fruit Bowl,breakfast,221,7.7,27.6,5.0,vegan,south_indian,1,balanced|beginner
Tofu Curry,dinner,682,30.9,86.2,10.1,vegan,north_indian,0,weight_loss|light
Vegetable Soup,dinner,429,25.6,51.6,6.6,vegan,north_indian,1,muscle_gain|high_protein
Roasted Chana,snack,182,4.6,23.8,6.0,vegan,mixed,1,weight_loss|light
Roasted Chana,snack,203,6.0,32.7,3.5,vegan,south_indian,1,improve_stamina|carb_rich
Masala Omelette,breakfast,332,16.2,50.0,9.6,non_vegetarian,south_indian,1,weight_loss|light
Rajma Chawal,lunch,700,14.2,91.7,16.7,vegetarian,south_indian,0,improve_stamina|carb_rich
Dal Rice,lunch,370,14.8,37.0,18.8,vegetarian,mixed,1,weight_loss|light
Thepla,breakfast,440,18.7,71.0,6.5,vegetarian,mixed,0,improve_stamina|carb_rich
Oats with Milk,breakfast,178,5.6,15.8,8.7,vegetarian,mixed,1,weight_loss|light
Upma,breakfast,219,6.2,25.2,8.4,vegetarian,mixed,1,balanced|beginner
Tofu Curry,dinner,697,15.2,75.2,16.2,vegan,mixed,0,balanced|beginner
Idli Sambar,breakfast,249,6.3,21.7,13.0,vegetarian,mixed,1,weight_loss|light
Protein Shake,snack,164,5.7,16.0,7.1,vegetarian,mixed,1,improve_stamina|carb_rich
Idli Sambar,breakfast,270,39.5,22.0,5.4,vegetarian,north_indian,1,muscle_gain|high_protein
Vegetable Soup,dinner,380,5.8,48.3,5.9,vegan,north_indian,1,weight_loss|light
Tofu Curry,dinner,564,12.5,62.5,24.6,vegan,north_indian,0,balanced|beginner
Rajma Chawal,lunch,617,13.3,68.5,4.4,vegetarian,south_indian,1,balanced|beginner
Fish Fry,dinner,391,21.3,43.4,6.9,non_vegetarian,north_indian,1,weight_loss|light
Mixed Veg Curry,dinner,674,58.3,38.2,18.5,vegetarian,north_indian,1,muscle_gain|high_protein
Tofu Stir Fry,lunch,432,17.6,51.8,13.9,vegan,north_indian,1,balanced|beginner
Rajma Chawal,lunch,663,27.1,45.9,28.0,vegetarian,north_indian,0,balanced|beginner
Roasted Chana,snack,217,3.0,25.0,9.7,vegan,north_indian,1,balanced|beginner
Dal Tadka,dinner,553,22.4,49.4,18.5,vegetarian,north_indian,1,weight_loss|light
Vegetable Khichdi,lunch,687,34.9,76.2,13.2,vegetarian,mixed,0,weight_loss|light
Roasted Chana,snack,94,5.7,11.8,1.8,vegan,north_indian,1,muscle_gain|high_protein
Hyderabadi Biryani,lunch,451,31.4,73.3,7.9,non_vegetarian,mixed,1,muscle_gain|high_protein
Paneer Cubes,snack,256,16.4,18.4,10.7,vegetarian,north_indian,1,muscle_gain|high_protein
Tofu Curry,dinner,380,26.9,28.1,14.4,vegan,mixed,1,muscle_gain|high_protein
Vegetable Soup,dinner,569,18.2,68.0,16.5,vegan,mixed,1,weight_loss|light
Vegetable Khichdi,lunch,417,18.5,51.5,11.8,vegetarian,north_indian,1,improve_stamina|carb_rich
Fruit Salad,snack,299,19.5,27.8,9.6,vegan,south_indian,1,muscle_gain|high_protein
Idli Sambar,breakfast,274,20.8,15.8,11.8,vegetarian,north_indian,1,muscle_gain|high_protein
Sabudana Khichdi,breakfast,337,6.6,40.6,13.5,vegetarian,mixed,1,balanced|beginner
Roasted Chana,snack,210,3.1,23.5,9.7,vegan,north_indian,1,improve_stamina|carb_rich
Tofu Curry,dinner,616,23.3,49.3,10.6,vegan,north_indian,1,muscle_gain|high_protein
Vegetable Soup,dinner,487,6.3,41.6,12.8,vegan,north_indian,0,balanced|beginner
Fruit Salad,snack,214,4.6,27.0,7.8,vegan,south_indian,1,weight_loss|light
Corn Chaat,snack,287,13.4,34.2,6.5,vegan,north_indian,0,balanced|beginner
Paneer Sandwich,breakfast,330,6.0,38.8,13.8,vegetarian,north_indian,1,balanced|beginner
Sprouts Salad,snack,236,9.0,33.9,5.1,vegan,mixed,1,muscle_gain|high_protein
Sabudana Khichdi,breakfast,401,11.3,34.6,17.6,vegetarian,mixed,1,improve_stamina|carb_rich
Vegetable Khichdi,lunch,666,37.2,23.6,13.9,vegetarian,north_indian,1,muscle_gain|high_protein
Roti Sabji,dinner,598,5.8,67.1,21.8,vegetarian,south_indian,0,balanced|beginner
Upma,breakfast,249,8.1,37.3,9.0,vegetarian,mixed,1,balanced|beginner
Masala Omelette,breakfast,217,11.8,20.3,7.9,non_vegetarian,south_indian,1,improve_stamina|carb_rich
Idli Sambar,breakfast,220,5.5,29.2,7.1,vegetarian,north_indian,1,weight_loss|light
Sprouts Salad,snack,292,16.0,20.9,14.7,vegan,north_indian,0,balanced|beginner
Fruit Bowl,breakfast,164,4.0,18.5,6.7,vegan,mixed,1,weight_loss|light
Buttermilk,snack,226,11.1,20.7,4.5,vegetarian,north_indian,1,balanced|beginner
Roasted Chana,snack,112,4.3,11.0,4.6,vegan,north_indian,1,weight_loss|light
Paneer Cubes,snack,279,21.3,30.0,5.7,vegetarian,north_indian,1,muscle_gain|high_protein
Tofu Scramble,breakfast,188,9.0,20.8,6.0,vegan,mixed,1,balanced|beginner
Rajma Chawal,lunch,567,21.6,58.4,16.1,vegetarian,mixed,1,weight_loss|light
Sprouts Salad,snack,207,2.6,23.9,9.4,vegan,south_indian,1,weight_loss|light
Protein Shake,snack,250,13.6,31.8,5.4,vegetarian,south_indian,1,muscle_gain|high_protein
Kadhi Rice,lunch,454,14.3,60.9,7.9,vegetarian,north_indian,1,improve_stamina|carb_rich
Masala Omelette,breakfast,358,4.2,40.6,16.7,non_vegetarian,south_indian,1,balanced|beginner
Buttermilk,snack,165,5.5,10.4,9.8,vegetarian,mixed,1,weight_loss|light
Fish Curry Rice,lunch,600,16.9,33.4,16.2,non_vegetarian,north_indian,1,improve_stamina|carb_rich
Paneer Cubes,snack,243,5.7,20.7,16.0,vegetarian,north_indian,0,weight_loss|light
Peanut Chaat,snack,101,6.1,12.7,2.0,vegetarian,south_indian,1,muscle_gain|high_protein
Protein Shake,snack,174,7.5,23.1,4.2,vegetarian,south_indian,1,muscle_gain|high_protein
Fish Fry,dinner,352,21.7,33.0,11.7,non_vegetarian,south_indian,1,muscle_gain|high_protein
Upma,breakfast,406,9.4,27.8,23.9,vegetarian,south_indian,0,weight_loss|light
Buttermilk,snack,104,4.3,5.8,6.2,vegetarian,mixed,1,improve_stamina|carb_rich
Fruit Bowl,breakfast,190,12.0,12.6,8.5,vegan,mixed,1,muscle_gain|high_protein
Peanut Chaat,snack,94,5.0,7.8,3.9,vegetarian,north_indian,1,muscle_gain|high_protein
Roti Sabji,dinner,586,32.8,60.0,12.2,vegetarian,mixed,1,improve_stamina|carb_rich
Thepla,breakfast,211,10.4,12.8,11.2,vegetarian,mixed,1,improve_stamina|carb_rich
Boiled Eggs,snack,288,8.3,37.1,9.2,non_vegetarian,mixed,0,balanced|beginner
Fish Curry Rice,lunch,575,32.0,60.9,15.2,non_vegetarian,mixed,1,muscle_gain|high_protein
Fruit Salad,snack,136,6.8,15.3,4.1,vegan,south_indian,1,muscle_gain|high_protein
Sprouts Salad,snack,297,16.2,44.4,3.4,vegan,mixed,0,muscle_gain|high_protein
Fruit Salad,snack,124,4.8,7.5,7.2,vegan,mixed,1,improve_stamina|carb_rich
Peanut Chaat,snack,274,9.4,37.4,7.2,vegetarian,mixed,0,improve_stamina|carb_rich
Dal Tadka,dinner,457,19.4,32.1,13.5,vegetarian,north_indian,1,muscle_gain|high_protein
Sprouts Salad,snack,94,2.0,10.6,4.0,vegan,mixed,1,improve_stamina|carb_rich
Vegetable Poha,breakfast,297,7.1,29.8,21.5,vegetarian,mixed,0,improve_stamina|carb_rich
Buttermilk,snack,147,4.6,14.4,6.6,vegetarian,north_indian,1,weight_loss|light
Sprouts Salad,snack,262,4.8,39.0,7.3,vegan,mixed,0,improve_stamina|carb_rich
Oats with Milk,breakfast,282,25.0,24.0,5.0,vegetarian,south_indian,1,muscle_gain|high_protein
Pav Bhaji,lunch,439,28.7,24.4,8.6,vegetarian,north_indian,1,muscle_gain|high_protein
Dal Rice,lunch,465,15.1,24.5,24.8,vegetarian,south_indian,0,weight_loss|light
Kadhi Rice,lunch,562,14.0,73.9,4.8,vegetarian,south_indian,1,balanced|beginner
Fruit Salad,snack,167,7.4,25.2,2.6,vegan,mixed,1,muscle_gain|high_protein
Grilled Chicken,dinner,645,11.5,73.2,3.8,non_vegetarian,mixed,0,balanced|beginner
Tofu Curry,dinner,581,6.8,73.3,3.5,vegan,mixed,0,balanced|beginner
Fish Fry,dinner,413,16.0,60.1,13.2,non_vegetarian,north_indian,1,improve_stamina|carb_rich
Fish Fry,dinner,420,9.4,37.6,16.3,non_vegetarian,mixed,0,weight_loss|light
Dal Rice,lunch,580,36.3,50.8,5.4,vegetarian,north_indian,1,muscle_gain|high_protein
Buttermilk,snack,191,7.6,14.1,9.8,vegetarian,north_indian,1,balanced|beginner
Idli Sambar,breakfast,362,16.8,63.8,8.7,vegetarian,south_indian,1,balanced|beginner
Tofu Scramble,breakfast,241,5.0,51.6,4.2,vegan,north_indian,1,balanced|beginner
Hyderabadi Biryani,lunch,583,15.1,26.3,17.8,non_vegetarian,mixed,1,weight_loss|light
Masala Omelette,breakfast,435,16.2,54.0,10.6,non_vegetarian,north_indian,0,weight_loss|light
Paneer Cubes,snack,91,4.1,8.8,3.6,vegetarian,south_indian,1,muscle_gain|high_protein
Corn Chaat,snack,99,4.8,12.7,2.4,vegan,north_indian,1,balanced|beginner
Upma,breakfast,415,13.2,41.3,18.9,vegetarian,north_indian,0,weight_loss|light
Fish Fry,dinner,564,8.8,55.8,22.0,non_vegetarian,north_indian,0,balanced|beginner
Dal Rice,lunch,376,6.7,34.9,15.2,vegetarian,south_indian,0,balanced|beginner
Thepla,breakfast,158,6.0,12.6,7.9,vegetarian,mixed,1,weight_loss|light
Protein Shake,snack,84,2.8,11.6,2.2,vegetarian,mixed,1,weight_loss|light
Tofu Scramble,breakfast,195,10.3,16.6,8.0,vegan,north_indian,1,weight_loss|light
Tofu Curry,dinner,516,11.7,48.4,11.0,vegan,mixed,0,improve_stamina|carb_rich
Vegetable Khichdi,lunch,408,8.3,25.3,22.6,vegetarian,mixed,0,improve_stamina|carb_rich
Idli Sambar,breakfast,275,14.2,35.3,6.1,vegetarian,mixed,1,improve_stamina|carb_rich
Boiled Eggs,snack,172,5.1,11.5,10.2,non_vegetarian,north_indian,1,improve_stamina|carb_rich
Tofu Curry,dinner,629,29.3,76.6,17.6,vegan,south_indian,1,muscle_gain|high_protein
Pav Bhaji,lunch,563,40.3,63.7,7.7,vegetarian,north_indian,1,muscle_gain|high_protein
Dal Rice,lunch,587,21.3,35.4,24.5,vegetarian,north_indian,0,muscle_gain|high_protein
Fruit Bowl,breakfast,209,4.6,21.7,9.7,vegan,mixed,1,balanced|beginner
Paneer Sandwich,breakfast,350,16.3,41.3,6.0,vegetarian,mixed,1,weight_loss|light
Tofu Scramble,breakfast,429,19.7,42.0,10.1,vegan,north_indian,0,improve_stamina|carb_rich
Kadhi Rice,lunch,614,14.8,47.8,28.1,vegetarian,north_indian,0,weight_loss|light
Sprouts Salad,snack,202,6.3,27.8,5.5,vegan,north_indian,1,weight_loss|light
Vegetable Soup,dinner,425,17.7,52.8,20.3,vegan,mixed,1,weight_loss|light
Grilled Chicken,dinner,562,10.9,53.5,17.4,non_vegetarian,south_indian,0,improve_stamina|carb_rich
Roasted Chana,snack,295,12.0,37.8,8.0,vegan,south_indian,0,muscle_gain|high_protein
Buttermilk,snack,88,3.6,11.9,2.1,vegetarian,mixed,1,improve_stamina|carb_rich
Paneer Roti,lunch,359,26.8,34.0,5.7,vegetarian,north_indian,1,improve_stamina|carb_rich
Roti Sabji,dinner,458,9.2,38.3,12.5,vegetarian,north_indian,0,improve_stamina|carb_rich
Boiled Eggs,snack,134,3.9,21.8,2.3,non_vegetarian,mixed,1,balanced|beginner
Pav Bhaji,lunch,663,34.5,38.1,19.7,vegetarian,north_indian,1,muscle_gain|high_protein
Hyderabadi Biryani,lunch,376,5.2,62.0,16.4,non_vegetarian,north_indian,0,balanced|beginner
Oats with Milk,breakfast,228,5.1,37.8,4.2,vegetarian,north_indian,1,balanced|beginner
Corn Chaat,snack,147,3.5,16.4,6.2,vegan,north_indian,1,weight_loss|light
Tofu Stir Fry,lunch,542,16.1,72.0,10.8,vegan,north_indian,1,balanced|beginner
Oats with Milk,breakfast,331,19.3,31.7,8.4,vegetarian,mixed,1,improve_stamina|carb_rich
Tofu Curry,dinner,649,35.6,26.4,18.5,vegan,south_indian,1,muscle_gain|high_protein
Vegetable Poha,breakfast,349,27.9,26.2,5.5,vegetarian,north_indian,1,muscle_gain|high_protein
Egg Curry,dinner,615,15.4,71.1,8.2,non_vegetarian,north_indian,1,balanced|beginner
Dal Tadka,dinner,576,19.2,77.5,5.9,vegetarian,north_indian,1,balanced|beginner
Vegetable Poha,breakfast,222,2.6,32.0,7.3,vegetarian,north_indian,1,balanced|beginner
Pav Bhaji,lunch,485,33.8,60.8,3.7,vegetarian,north_indian,1,muscle_gain|high_protein
Buttermilk,snack,180,2.7,23.8,6.6,vegetarian,south_indian,1,balanced|beginner
Thepla,breakfast,360,17.1,30.4,19.0,vegetarian,mixed,0,improve_stamina|carb_rich
Tofu Scramble,breakfast,152,9.4,20.0,2.5,vegan,mixed,0,muscle_gain|high_protein
Peanut Chaat,snack,140,5.5,16.3,4.6,vegetarian,north_indian,1,muscle_gain|high_protein
Paneer Sandwich,breakfast,237,12.5,38.0,5.3,vegetarian,south_indian,1,balanced|beginner
Corn Chaat,snack,148,5.4,17.0,5.2,vegan,north_indian,1,balanced|beginner
Thepla,breakfast,209,6.3,14.0,12.3,vegetarian,north_indian,1,weight_loss|light
Vegetable Khichdi,lunch,506,22.5,78.9,16.3,vegetarian,north_indian,1,muscle_gain|high_protein
Boiled Eggs,snack,292,10.1,49.4,3.4,non_vegetarian,south_indian,1,weight_loss|light
Vegetable Soup,dinner,534,32.9,58.2,14.2,vegan,north_indian,1,muscle_gain|high_protein
Paneer Sandwich,breakfast,156,11.5,8.3,7.2,vegetarian,mixed,0,muscle_gain|high_protein
Fish Fry,dinner,651,20.5,63.8,21.8,non_vegetarian,north_indian,0,weight_loss|light
Corn Chaat,snack,104,5.4,9.7,3.9,vegan,north_indian,1,muscle_gain|high_protein
Boiled Eggs,snack,262,13.4,42.1,2.1,non_vegetarian,south_indian,0,improve_stamina|carb_rich
Rajma Chawal,lunch,439,16.8,70.5,14.7,vegetarian,mixed,1,weight_loss|light
Vegetable Soup,dinner,391,23.4,43.9,11.0,vegan,south_indian,1,muscle_gain|high_protein
Upma,breakfast,162,7.4,17.6,5.4,vegetarian,north_indian,0,improve_stamina|carb_rich
Sabudana Khichdi,breakfast,279,9.9,36.6,7.9,vegetarian,north_indian,1,balanced|beginner
Tofu Scramble,breakfast,297,9.4,35.7,10.3,vegan,mixed,1,improve_stamina|carb_rich
Thepla,breakfast,328,13.6,38.9,10.2,vegetarian,north_indian,1,muscle_gain|high_protein
Paneer Sandwich,breakfast,268,14.8,36.9,4.5,vegetarian,north_indian,1,muscle_gain|high_protein
Protein Shake,snack,190,6.2,19.2,8.2,vegetarian,south_indian,1,improve_stamina|carb_rich
Grilled Chicken,dinner,617,27.7,73.4,4.5,non_vegetarian,north_indian,1,muscle_gain|high_protein
Vegetable Poha,breakfast,297,9.1,27.7,13.0,vegetarian,mixed,1,weight_loss|light
Upma,breakfast,371,11.2,20.9,11.9,vegetarian,north_indian,1,improve_stamina|carb_rich
Egg Curry,dinner,666,14.3,75.5,8.2,non_vegetarian,north_indian,0,improve_stamina|carb_rich
Vegetable Soup,dinner,371,23.4,21.8,17.8,vegan,north_indian,1,muscle_gain|high_protein
Chicken Curry Rice,lunch,574,28.0,68.6,5.8,non_vegetarian,north_indian,1,muscle_gain|high_protein
Roasted Chana,snack,248,20.0,32.5,2.0,vegan,south_indian,1,muscle_gain|high_protein
Paneer Bhurji,dinner,593,16.0,54.5,16.1,vegetarian,mixed,1,balanced|beginner
Mixed Veg Curry,dinner,481,15.6,76.6,6.6,vegetarian,north_indian,1,weight_loss|light
Buttermilk,snack,296,12.2,19.3,16.2,vegetarian,mixed,0,muscle_gain|high_protein
Peanut Chaat,snack,102,1.3,13.1,4.0,vegetarian,mixed,1,improve_stamina|carb_rich
Mixed Veg Curry,dinner,553,39.3,77.5,3.7,vegetarian,north_indian,1,muscle_gain|high_protein
Fruit Salad,snack,206,9.0,26.9,5.1,vegan,north_indian,1,improve_stamina|carb_rich
Upma,breakfast,393,6.6,43.7,21.7,vegetarian,north_indian,0,weight_loss|light
Mixed Veg Curry,dinner,660,20.9,98.1,7.2,vegetarian,south_indian,0,balanced|beginner
Vegetable Soup,dinner,695,16.2,79.3,12.2,vegan,mixed,0,improve_stamina|carb_rich
Thepla,breakfast,245,14.3,31.9,4.5,vegetarian,mixed,1,muscle_gain|high_protein
Fruit Salad,snack,159,12.1,12.9,5.2,vegan,south_indian,1,muscle_gain|high_protein
Fruit Salad,snack,159,9.8,14.9,5.3,vegan,south_indian,1,improve_stamina|carb_rich
Paneer Sandwich,breakfast,334,11.9,34.6,13.5,vegetarian,north_indian,1,weight_loss|light
Roti Sabji,dinner,691,14.3,106.2,9.4,vegetarian,north_indian,0,improve_stamina|carb_rich
Hyderabadi Biryani,lunch,352,28.9,51.6,6.0,non_vegetarian,south_indian,1,muscle_gain|high_protein
Dal Tadka,dinner,638,30.9,75.3,18.3,vegetarian,mixed,1,muscle_gain|high_protein
Egg Curry,dinner,364,10.2,33.2,17.9,non_vegetarian,north_indian,0,weight_loss|light
Grilled Chicken,dinner,472,30.3,46.2,9.0,non_vegetarian,mixed,1,improve_stamina|carb_rich
Fruit Salad,snack,216,12.1,25.3,5.4,vegan,north_indian,1,muscle_gain|high_protein
Roasted Chana,snack,183,7.2,26.1,3.9,vegan,south_indian,1,balanced|beginner
Peanut Chaat,snack,260,6.5,23.9,15.3,vegetarian,north_indian,0,balanced|beginner
Tofu Curry,dinner,463,19.0,52.3,22.1,vegan,north_indian,0,improve_stamina|carb_rich
Paneer Bhurji,dinner,433,23.6,45.9,22.5,vegetarian,north_indian,0,muscle_gain|high_protein
Idli Sambar,breakfast,195,6.9,28.1,4.4,vegetarian,north_indian,1,balanced|beginner
Vegetable Soup,dinner,368,13.6,30.8,17.9,vegan,mixed,1,balanced|beginner
Roti Sabji,dinner,694,50.5,76.2,6.9,vegetarian,mixed,1,muscle_gain|high_protein
Roasted Chana,snack,263,7.6,33.4,8.6,vegan,south_indian,1,weight_loss|light
Masala Omelette,breakfast,250,25.9,21.2,4.6,non_vegetarian,north_indian,1,muscle_gain|high_protein
Sprouts Salad,snack,271,9.4,43.6,7.4,vegan,north_indian,1,weight_loss|light
Vegetable Soup,dinner,644,15.6,45.1,15.7,vegan,south_indian,1,weight_loss|light
Paneer Sandwich,breakfast,426,13.0,53.5,14.0,vegetarian,mixed,0,weight_loss|light
Dal Rice,lunch,407,15.0,25.9,9.6,vegetarian,mixed,1,balanced|beginner
Roti Sabji,dinner,543,19.4,78.3,9.4,vegetarian,north_indian,1,weight_loss|light
Paneer Roti,lunch,504,18.6,58.5,11.7,vegetarian,south_indian,1,balanced|beginner
Fruit Bowl,breakfast,299,5.1,49.7,6.2,vegan,north_indian,1,improve_stamina|carb_rich
Idli Sambar,breakfast,351,28.9,43.3,3.8,vegetarian,mixed,1,muscle_gain|high_protein
Sprouts Salad,snack,267,9.0,22.5,6.4,vegan,mixed,0,balanced|beginner
Oats with Milk,breakfast,430,9.6,64.4,7.9,vegetarian,south_indian,0,improve_stamina|carb_rich
Upma,breakfast,429,8.0,59.4,18.0,vegetarian,north_indian,0,balanced|beginner
Kadhi Rice,lunch,479,17.5,54.4,4.3,vegetarian,mixed,1,balanced|beginner
Paneer Roti,lunch,507,30.4,51.8,9.7,vegetarian,north_indian,1,improve_stamina|carb_rich
Pav Bhaji,lunch,665,15.0,52.9,21.8,vegetarian,north_indian,0,weight_loss|light
Dal Tadka,dinner,554,10.9,70.1,22.7,vegetarian,south_indian,0,balanced|beginner
Tofu Curry,dinner,397,19.2,39.8,14.4,vegan,north_indian,1,muscle_gain|high_protein
Paneer Roti,lunch,644,5.3,44.2,22.0,vegetarian,north_indian,0,balanced|beginner
Chicken Curry Rice,lunch,405,19.3,62.7,4.3,non_vegetarian,north_indian,1,muscle_gain|high_protein
Vegetable Khichdi,lunch,554,15.8,56.6,4.3,vegetarian,north_indian,1,improve_stamina|carb_rich
Grilled Chicken,dinner,633,10.3,92.1,12.1,non_vegetarian,north_indian,0,balanced|beginner
Vegetable Poha,breakfast,155,3.7,18.4,6.0,vegetarian,north_indian,0,improve_stamina|carb_rich
Paneer Cubes,snack,184,14.1,13.3,6.6,vegetarian,north_indian,1,muscle_gain|high_protein
Tofu Curry,dinner,592,26.6,54.0,13.6,vegan,mixed,1,muscle_gain|high_protein
Pav Bhaji,lunch,485,6.3,60.9,23.1,vegetarian,south_indian,0,improve_stamina|carb_rich
Chicken Curry Rice,lunch,440,6.3,62.9,9.5,non_vegetarian,north_indian,0,improve_stamina|carb_rich
Masala Omelette,breakfast,275,12.1,45.4,2.6,non_vegetarian,mixed,1,weight_loss|light
Pav Bhaji,lunch,403,14.1,51.5,16.7,vegetarian,north_indian,1,balanced|beginner
Corn Chaat,snack,295,11.8,38.5,7.8,vegan,north_indian,0,balanced|beginner
Kadhi Rice,lunch,407,12.8,54.3,21.3,vegetarian,north_indian,1,improve_stamina|carb_rich
Fruit Salad,snack,196,6.8,34.0,1.9,vegan,mixed,1,weight_loss|light
Sprouts Salad,snack,172,6.3,21.2,5.3,vegan,south_indian,1,muscle_gain|high_protein
Hyderabadi Biryani,lunch,685,36.0,44.0,26.9,non_vegetarian,mixed,0,balanced|beginner
Idli Sambar,breakfast,302,7.6,41.2,9.2,vegetarian,north_indian,1,balanced|beginner
Chicken Curry Rice,lunch,447,15.9,71.9,7.4,non_vegetarian,north_indian,1,improve_stamina|carb_rich
Paneer Sandwich,breakfast,154,6.0,27.0,1.1,vegetarian,mixed,0,balanced|beginner
Thepla,breakfast,183,19.3,18.6,1.9,vegetarian,north_indian,1,muscle_gain|high_protein
Boiled Eggs,snack,288,17.7,39.6,3.9,non_vegetarian,mixed,0,muscle_gain|high_protein
Rajma Chawal,lunch,366,11.4,64.6,9.9,vegetarian,north_indian,0,balanced|beginner
Pav Bhaji,lunch,629,54.3,59.8,6.6,vegetarian,north_indian,1,muscle_gain|high_protein
Paneer Sandwich,breakfast,391,14.4,50.8,5.1,vegetarian,mixed,1,weight_loss|light
Tofu Stir Fry,lunch,422,11.4,29.9,20.2,vegan,south_indian,0,weight_loss|light
Sprouts Salad,snack,146,3.7,19.1,4.8,vegan,south_indian,1,balanced|beginner
Paneer Roti,lunch,474,8.8,69.9,14.9,vegetarian,mixed,0,weight_loss|light
Corn Chaat,snack,280,7.9,30.7,11.5,vegan,mixed,1,weight_loss|light
Roti Sabji,dinner,389,30.3,35.6,6.2,vegetarian,north_indian,1,weight_loss|light
Boiled Eggs,snack,88,4.5,11.7,1.8,non_vegetarian,north_indian,1,improve_stamina|carb_rich
Vegetable Poha,breakfast,433,5.1,57.3,16.5,vegetarian,north_indian,0,improve_stamina|carb_rich
Paneer Sandwich,breakfast,201,13.8,18.2,6.3,vegetarian,south_indian,1,muscle_gain|high_protein
Kadhi Rice,lunch,578,19.4,53.8,15.4,vegetarian,north_indian,1,muscle_gain|high_protein
Paneer Cubes,snack,187,7.1,23.7,5.4,vegetarian,north_indian,1,improve_stamina|carb_rich
Roasted Chana,snack,228,4.8,14.3,14.8,vegan,south_indian,0,balanced|beginner
Vegetable Khichdi,lunch,648,7.9,30.1,24.1,vegetarian,mixed,0,balanced|beginner
Sabudana Khichdi,breakfast,290,14.5,28.4,15.0,vegetarian,north_indian,1,balanced|beginner
Tofu Stir Fry,lunch,535,15.5,61.6,5.6,vegan,north_indian,1,balanced|beginner
Dal Rice,lunch,670,30.4,82.9,10.7,vegetarian,south_indian,0,weight_loss|light
Roasted Chana,snack,121,5.0,13.3,4.2,vegan,north_indian,1,muscle_gain|high_protein
Paneer Roti,lunch,503,7.3,51.7,12.1,vegetarian,mixed,0,weight_loss|light
Hyderabadi Biryani,lunch,591,16.8,52.7,15.9,non_vegetarian,mixed,1,balanced|beginner
Fruit Salad,snack,172,3.9,24.8,4.9,vegan,mixed,1,weight_loss|light
Boiled Eggs,snack,264,7.1,34.0,8.7,non_vegetarian,north_indian,0,balanced|beginner
Grilled Chicken,dinner,646,7.9,48.0,25.0,non_vegetarian,north_indian,0,improve_stamina|carb_rich
Fruit Salad,snack,243,17.1,40.5,3.4,vegan,mixed,1,improve_stamina|carb_rich
Roti Sabji,dinner,660,40.9,46.6,6.7,vegetarian,north_indian,1,muscle_gain|high_protein
Idli Sambar,breakfast,196,6.4,20.0,8.3,vegetarian,north_indian,1,weight_loss|light
Tofu Scramble,breakfast,235,16.6,35.8,5.0,vegan,north_indian,1,balanced|beginner
Fruit Salad,snack,94,2.2,11.1,3.7,vegan,north_indian,1,improve_stamina|carb_rich
Fish Curry Rice,lunch,671,21.1,42.8,32.7,non_vegetarian,north_indian,0,balanced|beginner
Kadhi Rice,lunch,689,41.0,54.6,20.3,vegetarian,mixed,0,improve_stamina|carb_rich
Roasted Chana,snack,119,3.6,14.5,4.1,vegan,north_indian,1,weight_loss|light
Dal Tadka,dinner,546,14.2,34.0,28.3,vegetarian,mixed,0,balanced|beginner
Fruit Salad,snack,268,9.1,35.2,7.7,vegan,mixed,0,balanced|beginner
Corn Chaat,snack,295,9.7,50.4,7.1,vegan,north_indian,0,balanced|beginner
Paneer Bhurji,dinner,486,35.5,61.7,11.8,vegetarian,mixed,1,muscle_gain|high_protein
Buttermilk,snack,161,5.9,24.7,2.9,vegetarian,mixed,1,weight_loss|light
