name,meal_type,calories,protein_g,carbs_g,fat_g,food_type,cuisine,is_healthy,tags
Oats with Milk 1469,breakfast,430,9.6,64.4,7.9,vegetarian,south_indian,1,improve_stamina|carb_rich
Upma 1470,breakfast,429,8.0,59.4,18.0,vegetarian,rajasthani,1,balanced|beginner
Kadhi Rice 1471,lunch,479,17.5,54.4,4.3,vegetarian,mixed,1,balanced|beginner
Paneer Roti 1472,lunch,507,17.3,29.5,5.5,vegetarian,bengali,0,improve_stamina|carb_rich
Pav Bhaji 1473,lunch,665,15.0,52.9,21.8,vegetarian,north_indian,0,weight_loss|light
Dal Tadka 1474,dinner,554,10.9,70.1,22.7,vegetarian,kerala,0,balanced|beginner
Tofu Curry 1475,dinner,397,25.6,53.1,19.2,vegan,gujarati,0,muscle_gain|high_protein
Paneer Roti 1476,lunch,644,5.3,44.2,22.0,vegetarian,north_indian,0,balanced|beginner
Chicken Curry Rice 1477,lunch,405,19.3,62.7,4.3,non_vegetarian,north_indian,1,muscle_gain|high_protein
Vegetable Khichdi 1478,lunch,554,15.8,56.6,4.3,vegetarian,north_indian,0,improve_stamina|carb_rich
Grilled Chicken 1479,dinner,633,6.9,61.4,8.1,non_vegetarian,bengali,0,balanced|beginner
Vegetable Poha 1480,breakfast,155,8.8,44.1,14.5,vegetarian,rajasthani,1,improve_stamina|carb_rich
Paneer Cubes 1481,snack,184,33.7,31.8,15.8,vegetarian,north_indian,1,muscle_gain|high_protein
Tofu Curry 1482,dinner,592,26.6,54.0,13.6,vegan,maharashtrian,0,muscle_gain|high_protein
Pav Bhaji 1483,lunch,485,6.3,60.9,23.1,vegetarian,south_indian,0,improve_stamina|carb_rich
Chicken Curry Rice 1484,lunch,440,6.3,62.9,9.5,non_vegetarian,bengali,1,improve_stamina|carb_rich
Masala Omelette 1485,breakfast,275,16.6,62.1,3.5,non_vegetarian,mixed,1,weight_loss|light
Pav Bhaji 1486,lunch,403,14.1,51.5,16.7,vegetarian,rajasthani,1,balanced|beginner
Corn Chaat 1487,snack,295,19.0,61.9,12.5,vegan,rajasthani,1,balanced|beginner
Kadhi Rice 1488,lunch,407,12.8,54.3,21.3,vegetarian,bengali,0,improve_stamina|carb_rich
Fruit Salad 1489,snack,196,13.2,66.4,3.7,vegan,maharashtrian,1,weight_loss|light
Sprouts Salad 1490,snack,172,21.7,72.9,18.3,vegan,south_indian,0,muscle_gain|high_protein
Hyderabadi Biryani 1491,lunch,685,20.0,24.4,14.9,non_vegetarian,mixed,0,balanced|beginner
Idli Sambar 1492,breakfast,302,12.4,67.0,14.9,vegetarian,gujarati,1,balanced|beginner
Chicken Curry Rice 1493,lunch,447,15.9,71.9,7.4,non_vegetarian,punjabi,1,improve_stamina|carb_rich
Paneer Sandwich 1494,breakfast,154,16.7,75.5,3.1,vegetarian,hyderabadi,1,balanced|beginner
Thepla 1495,breakfast,183,39.6,38.1,3.8,vegetarian,rajasthani,1,muscle_gain|high_protein
Boiled Eggs 1496,snack,288,34.2,76.4,7.6,non_vegetarian,hyderabadi,1,muscle_gain|high_protein
Rajma Chawal 1497,lunch,366,11.4,64.6,9.9,vegetarian,gujarati,1,balanced|beginner
Pav Bhaji 1498,lunch,629,34.7,38.2,4.2,vegetarian,rajasthani,0,muscle_gain|high_protein
Paneer Sandwich 1499,breakfast,391,14.4,50.8,5.1,vegetarian,mixed,1,weight_loss|light
Tofu Stir Fry 1500,lunch,422,11.4,29.9,20.2,vegan,kerala,0,weight_loss|light
Sprouts Salad 1501,snack,146,8.9,45.7,11.4,vegan,south_indian,1,balanced|beginner
Paneer Roti 1502,lunch,474,8.8,69.9,14.9,vegetarian,hyderabadi,1,weight_loss|light
Corn Chaat 1503,snack,280,16.8,65.7,24.5,vegan,maharashtrian,0,weight_loss|light
Roti Sabji 1504,dinner,389,17.1,20.1,3.5,vegetarian,gujarati,1,weight_loss|light
Boiled Eggs 1505,snack,88,10.8,28.1,4.4,non_vegetarian,north_indian,1,improve_stamina|carb_rich
Vegetable Poha 1506,breakfast,433,7.1,79.0,22.8,vegetarian,bengali,0,improve_stamina|carb_rich
Paneer Sandwich 1507,breakfast,201,29.9,39.4,13.7,vegetarian,kerala,1,muscle_gain|high_protein
Kadhi Rice 1508,lunch,578,19.4,53.8,15.4,vegetarian,punjabi,0,muscle_gain|high_protein
Paneer Cubes 1509,snack,187,15.9,52.8,12.0,vegetarian,rajasthani,1,improve_stamina|carb_rich
Roasted Chana 1510,snack,228,7.1,21.2,21.9,vegan,south_indian,0,balanced|beginner
Vegetable Khichdi 1511,lunch,648,7.9,30.1,24.1,vegetarian,mixed,0,balanced|beginner
Sabudana Khichdi 1512,breakfast,290,14.5,28.4,15.0,vegetarian,punjabi,1,balanced|beginner
Tofu Stir Fry 1513,lunch,535,15.5,61.6,5.6,vegan,punjabi,0,balanced|beginner
Dal Rice 1514,lunch,670,15.1,41.2,5.3,vegetarian,kerala,0,weight_loss|light
Roasted Chana 1515,snack,121,25.7,68.8,21.9,vegan,punjabi,0,muscle_gain|high_protein
Paneer Roti 1516,lunch,503,7.3,51.7,12.1,vegetarian,mixed,0,weight_loss|light
Hyderabadi Biryani 1517,lunch,591,16.8,52.7,15.9,non_vegetarian,hyderabadi,0,balanced|beginner
Fruit Salad 1518,snack,172,8.4,54.0,10.6,vegan,mixed,1,weight_loss|light
Boiled Eggs 1519,snack,264,14.4,68.7,17.6,non_vegetarian,rajasthani,1,balanced|beginner
Grilled Chicken 1520,dinner,646,7.9,48.0,25.0,non_vegetarian,gujarati,0,improve_stamina|carb_rich
Fruit Salad 1521,snack,243,17.1,40.5,3.4,vegan,maharashtrian,1,improve_stamina|carb_rich
Roti Sabji 1522,dinner,660,40.9,46.6,6.7,vegetarian,punjabi,0,muscle_gain|high_protein
Idli Sambar 1523,breakfast,196,10.9,33.9,14.0,vegetarian,bengali,1,weight_loss|light
Tofu Scramble 1524,breakfast,235,16.6,35.8,5.0,vegan,bengali,1,balanced|beginner
Fruit Salad 1525,snack,94,9.0,44.9,15.0,vegan,bengali,1,improve_stamina|carb_rich
Fish Curry Rice 1526,lunch,671,11.8,23.9,18.3,non_vegetarian,gujarati,0,balanced|beginner
Kadhi Rice 1527,lunch,689,18.4,24.5,9.1,vegetarian,mixed,0,improve_stamina|carb_rich
Roasted Chana 1528,snack,119,15.8,62.7,17.8,vegan,bengali,1,weight_loss|light
Dal Tadka 1529,dinner,546,9.0,21.5,17.9,vegetarian,maharashtrian,0,balanced|beginner
Fruit Salad 1530,snack,268,18.8,72.5,15.8,vegan,maharashtrian,1,balanced|beginner
Corn Chaat 1531,snack,295,9.7,50.4,7.1,vegan,north_indian,1,balanced|beginner
Paneer Bhurji 1532,dinner,486,35.5,61.7,11.8,vegetarian,mixed,1,muscle_gain|high_protein
Buttermilk 1533,snack,161,15.4,64.3,7.5,vegetarian,maharashtrian,1,weight_loss|light
Hyderabadi Biryani 1534,lunch,487,18.6,34.1,23.6,non_vegetarian,north_indian,0,improve_stamina|carb_rich
Tofu Stir Fry 1535,lunch,560,6.5,54.8,12.8,vegan,north_indian,0,balanced|beginner
Fish Curry Rice 1536,lunch,380,17.9,49.8,22.0,non_vegetarian,gujarati,0,weight_loss|light
Hyderabadi Biryani 1537,lunch,504,16.6,26.6,19.3,non_vegetarian,bengali,0,weight_loss|light
Dal Rice 1538,lunch,387,24.8,36.9,19.5,vegetarian,mixed,0,muscle_gain|high_protein
Tofu Stir Fry 1539,lunch,375,18.3,48.1,17.7,vegan,bengali,1,muscle_gain|high_protein
Oats with Milk 1540,breakfast,245,38.7,35.3,18.2,vegetarian,kerala,0,muscle_gain|high_protein
Paneer Roti 1541,lunch,590,11.8,32.4,22.8,vegetarian,hyderabadi,0,improve_stamina|carb_rich
Roti Sabji 1542,dinner,425,10.2,52.5,4.4,vegetarian,maharashtrian,1,balanced|beginner
Paneer Cubes 1543,snack,124,27.3,69.4,10.3,vegetarian,kerala,1,muscle_gain|high_protein
Paneer Roti 1544,lunch,522,12.7,46.3,9.1,vegetarian,mixed,0,improve_stamina|carb_rich
Vegetable Soup 1545,dinner,475,9.4,45.9,13.7,vegan,punjabi,1,balanced|beginner
Grilled Chicken 1546,dinner,374,37.2,79.8,6.8,non_vegetarian,north_indian,1,muscle_gain|high_protein
Oats with Milk 1547,breakfast,363,6.9,44.6,14.5,vegetarian,mixed,1,balanced|beginner
Paneer Sandwich 1548,breakfast,222,40.9,61.0,18.6,vegetarian,rajasthani,0,muscle_gain|high_protein
Buttermilk 1549,snack,116,7.3,59.4,3.1,vegetarian,punjabi,1,weight_loss|light
Tofu Scramble 1550,breakfast,342,16.1,78.6,13.7,vegan,rajasthani,1,balanced|beginner
Roti Sabji 1551,dinner,632,30.3,75.8,24.9,vegetarian,south_indian,0,muscle_gain|high_protein
Paneer Sandwich 1552,breakfast,403,17.1,66.7,23.1,vegetarian,maharashtrian,0,weight_loss|light
Vegetable Soup 1553,dinner,603,30.8,30.8,9.0,vegan,hyderabadi,0,muscle_gain|high_protein
Masala Omelette 1554,breakfast,242,5.5,78.3,18.8,non_vegetarian,rajasthani,0,improve_stamina|carb_rich
Fruit Salad 1555,snack,293,16.2,36.6,6.1,vegan,kerala,1,balanced|beginner
Masala Omelette 1556,breakfast,358,10.5,79.6,10.7,non_vegetarian,maharashtrian,1,balanced|beginner
Paneer Sandwich 1557,breakfast,238,7.0,77.3,4.1,vegetarian,hyderabadi,1,weight_loss|light
Sabudana Khichdi 1558,breakfast,438,27.9,74.9,14.5,vegetarian,maharashtrian,1,muscle_gain|high_protein
Thepla 1559,breakfast,262,11.4,66.8,3.7,vegetarian,hyderabadi,1,improve_stamina|carb_rich
Corn Chaat 1560,snack,144,11.2,40.6,24.2,vegan,hyderabadi,0,balanced|beginner
Sabudana Khichdi 1561,breakfast,208,27.9,32.0,17.3,vegetarian,south_indian,1,muscle_gain|high_protein
Grilled Chicken 1562,dinner,366,15.6,61.7,12.9,non_vegetarian,gujarati,1,weight_loss|light
Kadhi Rice 1563,lunch,582,5.6,33.5,10.7,vegetarian,rajasthani,0,balanced|beginner
Fish Curry Rice 1564,lunch,382,18.4,41.3,14.1,non_vegetarian,rajasthani,1,weight_loss|light
Dal Tadka 1565,dinner,369,17.9,60.9,10.5,vegetarian,rajasthani,1,improve_stamina|carb_rich
Paneer Roti 1566,lunch,677,11.8,58.6,12.3,vegetarian,rajasthani,0,balanced|beginner
Protein Shake 1567,snack,88,24.3,32.1,16.6,vegetarian,kerala,1,muscle_gain|high_protein
Tofu Scramble 1568,breakfast,276,17.3,48.0,20.8,vegan,rajasthani,0,weight_loss|light
Buttermilk 1569,snack,100,5.5,60.3,6.4,vegetarian,kerala,1,improve_stamina|carb_rich
Rajma Chawal 1570,lunch,449,21.6,76.4,15.7,vegetarian,maharashtrian,1,muscle_gain|high_protein
Dal Tadka 1571,dinner,614,11.1,72.6,21.4,vegetarian,maharashtrian,0,improve_stamina|carb_rich
Idli Sambar 1572,breakfast,221,15.1,77.6,7.0,vegetarian,hyderabadi,1,weight_loss|light
Paneer Bhurji 1573,dinner,415,13.2,35.5,4.7,vegetarian,kerala,1,improve_stamina|carb_rich
Paneer Bhurji 1574,dinner,673,13.4,42.8,17.4,vegetarian,maharashtrian,0,improve_stamina|carb_rich
Buttermilk 1575,snack,87,36.1,37.2,6.8,vegetarian,maharashtrian,1,muscle_gain|high_protein
Egg Curry 1576,dinner,665,13.1,26.8,16.7,non_vegetarian,maharashtrian,0,improve_stamina|carb_rich
Paneer Cubes 1577,snack,185,9.8,31.7,16.4,vegetarian,kerala,1,improve_stamina|carb_rich
Kadhi Rice 1578,lunch,640,41.6,39.6,22.0,vegetarian,north_indian,0,muscle_gain|high_protein
Hyderabadi Biryani 1579,lunch,416,8.7,31.0,22.0,non_vegetarian,maharashtrian,0,weight_loss|light
Roti Sabji 1580,dinner,596,13.3,26.8,13.1,vegetarian,mixed,0,balanced|beginner
Vegetable Poha 1581,breakfast,376,7.9,23.6,8.5,vegetarian,north_indian,1,weight_loss|light
Thepla 1582,breakfast,358,6.7,57.7,23.4,vegetarian,bengali,0,balanced|beginner
Roasted Chana 1583,snack,196,19.7,41.0,5.1,vegan,south_indian,1,weight_loss|light
Vegetable Poha 1584,breakfast,326,13.7,39.9,12.2,vegetarian,rajasthani,1,balanced|beginner
Masala Omelette 1585,breakfast,155,9.5,56.3,5.6,non_vegetarian,north_indian,1,balanced|beginner
Vegetable Soup 1586,dinner,368,32.7,74.9,19.0,vegan,punjabi,0,muscle_gain|high_protein
Fish Fry 1587,dinner,621,16.6,48.9,21.9,non_vegetarian,bengali,0,weight_loss|light
Corn Chaat 1588,snack,171,17.1,31.6,18.7,vegan,north_indian,0,balanced|beginner
Peanut Chaat 1589,snack,254,19.9,69.8,21.8,vegetarian,punjabi,0,muscle_gain|high_protein
Dal Tadka 1590,dinner,377,23.5,23.9,5.8,vegetarian,south_indian,1,muscle_gain|high_protein
Dal Rice 1591,lunch,435,26.2,52.1,18.6,vegetarian,bengali,0,muscle_gain|high_protein
Fish Curry Rice 1592,lunch,612,41.4,44.6,10.3,non_vegetarian,kerala,0,muscle_gain|high_protein
Masala Omelette 1593,breakfast,358,7.9,21.7,15.8,non_vegetarian,kerala,1,improve_stamina|carb_rich
Pav Bhaji 1594,lunch,414,17.8,38.0,16.4,vegetarian,maharashtrian,1,balanced|beginner
Thepla 1595,breakfast,395,22.8,27.0,24.6,vegetarian,hyderabadi,0,muscle_gain|high_protein
Vegetable Poha 1596,breakfast,255,16.1,75.3,22.7,vegetarian,mixed,0,improve_stamina|carb_rich
Protein Shake 1597,snack,91,42.4,22.3,8.2,vegetarian,rajasthani,1,muscle_gain|high_protein
Fish Fry 1598,dinner,695,6.5,78.1,21.9,non_vegetarian,south_indian,0,weight_loss|light
Thepla 1599,breakfast,420,39.6,70.4,9.3,vegetarian,maharashtrian,1,muscle_gain|high_protein
Buttermilk 1600,snack,91,19.6,25.2,4.5,vegetarian,mixed,1,balanced|beginner
Vegetable Soup 1601,dinner,548,36.9,71.3,12.2,vegan,gujarati,0,muscle_gain|high_protein
Egg Curry 1602,dinner,687,18.5,36.3,21.2,non_vegetarian,gujarati,0,balanced|beginner
Kadhi Rice 1603,lunch,383,30.1,28.4,18.3,vegetarian,rajasthani,0,muscle_gain|high_protein
Fruit Bowl 1604,breakfast,318,21.2,22.2,10.4,vegan,punjabi,1,muscle_gain|high_protein
Idli Sambar 1605,breakfast,406,7.5,55.4,4.4,vegetarian,north_indian,1,weight_loss|light
Fish Curry Rice 1606,lunch,361,9.0,78.8,12.1,non_vegetarian,north_indian,1,balanced|beginner
Buttermilk 1607,snack,196,10.1,55.7,21.2,vegetarian,maharashtrian,0,balanced|beginner
Sabudana Khichdi 1608,breakfast,406,20.4,31.8,5.2,vegetarian,south_indian,1,muscle_gain|high_protein
Fish Curry Rice 1609,lunch,356,6.8,65.3,9.1,non_vegetarian,kerala,1,improve_stamina|carb_rich
Fish Fry 1610,dinner,519,17.4,62.9,13.7,non_vegetarian,north_indian,0,improve_stamina|carb_rich
Mixed Veg Curry 1611,dinner,390,10.8,27.1,3.5,vegetarian,maharashtrian,1,weight_loss|light
Dal Rice 1612,lunch,604,15.9,51.4,22.7,vegetarian,hyderabadi,0,improve_stamina|carb_rich
Thepla 1613,breakfast,304,35.5,46.6,16.2,vegetarian,mixed,1,muscle_gain|high_protein
Corn Chaat 1614,snack,126,7.5,66.3,9.7,vegan,bengali,1,weight_loss|light
Fruit Bowl 1615,breakfast,228,31.8,38.0,24.1,vegan,north_indian,0,muscle_gain|high_protein
Buttermilk 1616,snack,299,11.0,50.6,17.9,vegetarian,hyderabadi,1,balanced|beginner
Fruit Bowl 1617,breakfast,335,8.2,31.9,21.9,vegan,bengali,0,balanced|beginner
Chicken Curry Rice 1618,lunch,564,8.5,63.2,21.7,non_vegetarian,north_indian,0,improve_stamina|carb_rich
Roti Sabji 1619,dinner,406,19.2,53.6,11.6,vegetarian,south_indian,1,balanced|beginner
Hyderabadi Biryani 1620,lunch,571,35.4,24.5,23.7,non_vegetarian,rajasthani,0,muscle_gain|high_protein
Protein Shake 1621,snack,255,7.1,37.3,4.4,vegetarian,hyderabadi,1,weight_loss|light
Vegetable Soup 1622,dinner,466,41.2,54.4,24.4,vegan,hyderabadi,0,muscle_gain|high_protein
Mixed Veg Curry 1623,dinner,452,6.6,50.6,21.9,vegetarian,maharashtrian,0,improve_stamina|carb_rich
Paneer Cubes 1624,snack,144,18.9,48.3,9.2,vegetarian,punjabi,1,improve_stamina|carb_rich
Boiled Eggs 1625,snack,203,43.4,52.7,20.8,non_vegetarian,bengali,0,muscle_gain|high_protein
Dal Tadka 1626,dinner,434,14.5,66.6,20.8,vegetarian,maharashtrian,0,balanced|beginner
Fish Fry 1627,dinner,353,12.9,65.1,5.2,non_vegetarian,punjabi,1,improve_stamina|carb_rich
Fish Curry Rice 1628,lunch,561,20.1,57.5,7.3,non_vegetarian,gujarati,0,muscle_gain|high_protein
Sabudana Khichdi 1629,breakfast,289,7.5,34.9,5.0,vegetarian,rajasthani,1,weight_loss|light
Tofu Scramble 1630,breakfast,239,12.0,73.2,3.7,vegan,south_indian,1,weight_loss|light
Sabudana Khichdi 1631,breakfast,260,10.2,40.7,14.3,vegetarian,punjabi,1,improve_stamina|carb_rich
Boiled Eggs 1632,snack,205,18.0,65.2,22.6,non_vegetarian,south_indian,0,balanced|beginner
Boiled Eggs 1633,snack,82,19.6,34.0,16.2,non_vegetarian,rajasthani,1,weight_loss|light
Kadhi Rice 1634,lunch,696,12.1,46.3,16.6,vegetarian,punjabi,0,weight_loss|light
Grilled Chicken 1635,dinner,534,30.1,32.3,3.7,non_vegetarian,kerala,0,muscle_gain|high_protein
Idli Sambar 1636,breakfast,152,18.0,43.9,6.9,vegetarian,south_indian,1,balanced|beginner
Thepla 1637,breakfast,271,8.8,69.6,16.9,vegetarian,bengali,1,balanced|beginner
Roti Sabji 1638,dinner,377,19.1,32.5,3.9,vegetarian,north_indian,1,weight_loss|light
Mixed Veg Curry 1639,dinner,582,15.4,52.2,20.1,vegetarian,hyderabadi,0,balanced|beginner
Paneer Cubes 1640,snack,157,5.9,40.4,3.3,vegetarian,maharashtrian,1,balanced|beginner
Corn Chaat 1641,snack,220,15.9,76.9,12.4,vegan,gujarati,1,balanced|beginner
Pav Bhaji 1642,lunch,673,16.5,62.4,17.4,vegetarian,north_indian,0,improve_stamina|carb_rich
Paneer Bhurji 1643,dinner,653,17.9,49.7,18.7,vegetarian,maharashtrian,0,improve_stamina|carb_rich
Hyderabadi Biryani 1644,lunch,385,9.8,34.8,11.3,non_vegetarian,maharashtrian,1,weight_loss|light
Boiled Eggs 1645,snack,83,10.1,65.7,15.4,non_vegetarian,rajasthani,1,improve_stamina|carb_rich
Peanut Chaat 1646,snack,86,30.9,54.0,21.2,vegetarian,maharashtrian,0,muscle_gain|high_protein
Protein Shake 1647,snack,266,36.3,56.6,10.4,vegetarian,hyderabadi,1,muscle_gain|high_protein
Hyderabadi Biryani 1648,lunch,598,17.5,55.5,17.6,non_vegetarian,north_indian,0,balanced|beginner
Sprouts Salad 1649,snack,160,8.9,79.0,10.2,vegan,gujarati,1,improve_stamina|carb_rich
Upma 1650,breakfast,317,35.8,67.1,9.9,vegetarian,mixed,1,muscle_gain|high_protein
Hyderabadi Biryani 1651,lunch,570,15.9,32.6,25.0,non_vegetarian,south_indian,0,balanced|beginner
Idli Sambar 1652,breakfast,398,19.9,50.8,18.0,vegetarian,hyderabadi,1,weight_loss|light
Vegetable Khichdi 1653,lunch,615,8.8,47.9,16.9,vegetarian,kerala,0,balanced|beginner
Fruit Salad 1654,snack,91,10.0,78.2,3.8,vegan,mixed,1,improve_stamina|carb_rich
Boiled Eggs 1655,snack,300,14.7,55.6,10.4,non_vegetarian,north_indian,1,improve_stamina|carb_rich
Kadhi Rice 1656,lunch,644,37.8,20.9,14.3,vegetarian,maharashtrian,0,muscle_gain|high_protein
Fruit Salad 1657,snack,168,11.6,48.8,22.1,vegan,punjabi,0,improve_stamina|carb_rich
Tofu Stir Fry 1658,lunch,413,8.5,75.2,21.3,vegan,mixed,0,weight_loss|light
Buttermilk 1659,snack,85,12.5,55.1,21.4,vegetarian,rajasthani,0,improve_stamina|carb_rich
Peanut Chaat 1660,snack,249,17.0,74.7,11.8,vegetarian,south_indian,1,weight_loss|light
Tofu Scramble 1661,breakfast,195,11.5,49.0,5.8,vegan,punjabi,1,improve_stamina|carb_rich
Vegetable Poha 1662,breakfast,189,28.0,56.2,21.0,vegetarian,rajasthani,0,muscle_gain|high_protein
Corn Chaat 1663,snack,246,16.5,22.1,21.2,vegan,punjabi,0,weight_loss|light
Egg Curry 1664,dinner,445,11.3,36.5,21.9,non_vegetarian,maharashtrian,0,improve_stamina|carb_rich
Paneer Cubes 1665,snack,240,32.6,44.5,15.6,vegetarian,south_indian,1,muscle_gain|high_protein
Paneer Bhurji 1666,dinner,658,10.6,21.8,14.9,vegetarian,maharashtrian,0,balanced|beginner
Egg Curry 1667,dinner,470,15.7,76.0,15.1,non_vegetarian,bengali,1,balanced|beginner
Vegetable Soup 1668,dinner,471,14.4,48.3,15.6,vegan,mixed,1,weight_loss|light
Fruit Bowl 1669,breakfast,258,33.1,67.7,8.2,vegan,hyderabadi,1,muscle_gain|high_protein
Sprouts Salad 1670,snack,287,19.6,33.2,8.6,vegan,bengali,1,weight_loss|light
Roti Sabji 1671,dinner,422,26.4,79.4,11.4,vegetarian,mixed,1,muscle_gain|high_protein
Tofu Stir Fry 1672,lunch,567,11.1,27.8,4.5,vegan,punjabi,0,improve_stamina|carb_rich
Paneer Cubes 1673,snack,112,18.7,72.6,10.9,vegetarian,kerala,1,improve_stamina|carb_rich
Protein Shake 1674,snack,259,16.1,62.9,14.5,vegetarian,kerala,1,weight_loss|light
Sprouts Salad 1675,snack,194,16.4,24.5,22.8,vegan,rajasthani,0,weight_loss|light
Sprouts Salad 1676,snack,115,16.4,20.3,15.3,vegan,punjabi,1,balanced|beginner
Fish Fry 1677,dinner,532,8.0,75.6,13.0,non_vegetarian,bengali,0,improve_stamina|carb_rich
Tofu Stir Fry 1678,lunch,612,14.7,70.8,16.9,vegan,north_indian,0,weight_loss|light
Paneer Roti 1679,lunch,520,24.4,56.7,17.3,vegetarian,maharashtrian,0,muscle_gain|high_protein
Hyderabadi Biryani 1680,lunch,467,7.0,42.1,23.1,non_vegetarian,north_indian,0,improve_stamina|carb_rich
Vegetable Soup 1681,dinner,566,14.1,54.5,21.2,vegan,hyderabadi,0,balanced|beginner
Fruit Salad 1682,snack,270,13.2,57.5,7.6,vegan,rajasthani,1,improve_stamina|carb_rich
Kadhi Rice 1683,lunch,529,8.8,21.4,4.3,vegetarian,gujarati,0,balanced|beginner
Vegetable Poha 1684,breakfast,283,5.1,71.3,5.3,vegetarian,maharashtrian,1,balanced|beginner
Pav Bhaji 1685,lunch,453,5.2,43.9,7.6,vegetarian,rajasthani,1,balanced|beginner
Sprouts Salad 1686,snack,255,8.2,70.2,22.9,vegan,kerala,0,weight_loss|light
Vegetable Khichdi 1687,lunch,580,15.4,33.9,18.2,vegetarian,south_indian,0,improve_stamina|carb_rich
Sabudana Khichdi 1688,breakfast,278,20.0,51.1,7.3,vegetarian,north_indian,1,muscle_gain|high_protein
Upma 1689,breakfast,240,16.0,51.9,16.1,vegetarian,rajasthani,1,balanced|beginner
Hyderabadi Biryani 1690,lunch,670,42.8,28.7,12.3,non_vegetarian,hyderabadi,0,muscle_gain|high_protein
Grilled Chicken 1691,dinner,652,6.8,23.5,16.1,non_vegetarian,punjabi,0,improve_stamina|carb_rich
Paneer Sandwich 1692,breakfast,160,18.9,48.4,23.7,vegetarian,hyderabadi,0,balanced|beginner
Pav Bhaji 1693,lunch,486,11.8,60.5,13.0,vegetarian,north_indian,1,balanced|beginner
Boiled Eggs 1694,snack,168,15.8,45.9,21.9,non_vegetarian,hyderabadi,0,balanced|beginner
Egg Curry 1695,dinner,408,18.4,60.8,13.9,non_vegetarian,hyderabadi,1,weight_loss|light
Egg Curry 1696,dinner,384,18.9,22.6,19.5,non_vegetarian,bengali,0,improve_stamina|carb_rich
Protein Shake 1697,snack,107,27.9,76.9,12.8,vegetarian,mixed,1,muscle_gain|high_protein
Tofu Scramble 1698,breakfast,244,11.9,45.3,4.8,vegan,mixed,1,balanced|beginner
Corn Chaat 1699,snack,298,8.3,78.5,16.3,vegan,hyderabadi,1,weight_loss|light
Tofu Curry 1700,dinner,441,19.7,51.8,22.8,vegan,rajasthani,0,muscle_gain|high_protein
Roasted Chana 1701,snack,245,20.4,46.9,24.0,vegan,kerala,0,muscle_gain|high_protein
Sprouts Salad 1702,snack,81,43.8,32.6,12.3,vegan,rajasthani,1,muscle_gain|high_protein
Paneer Sandwich 1703,breakfast,163,6.6,50.5,15.0,vegetarian,rajasthani,1,improve_stamina|carb_rich
Dal Rice 1704,lunch,521,15.9,51.7,20.8,vegetarian,mixed,0,balanced|beginner
Vegetable Khichdi 1705,lunch,393,7.5,58.9,13.1,vegetarian,rajasthani,1,weight_loss|light
Sabudana Khichdi 1706,breakfast,407,12.5,54.1,17.2,vegetarian,south_indian,1,improve_stamina|carb_rich
Vegetable Soup 1707,dinner,688,5.7,22.3,12.8,vegan,hyderabadi,0,weight_loss|light
Paneer Sandwich 1708,breakfast,317,7.2,72.9,5.4,vegetarian,rajasthani,1,weight_loss|light
Paneer Bhurji 1709,dinner,698,19.5,37.4,21.8,vegetarian,bengali,0,improve_stamina|carb_rich
Dal Tadka 1710,dinner,419,35.2,20.4,6.6,vegetarian,mixed,1,muscle_gain|high_protein
Masala Omelette 1711,breakfast,289,18.2,79.1,22.0,non_vegetarian,hyderabadi,0,improve_stamina|carb_rich
Paneer Sandwich 1712,breakfast,194,8.7,70.1,8.6,vegetarian,hyderabadi,1,weight_loss|light
Roti Sabji 1713,dinner,573,19.2,79.1,14.4,vegetarian,punjabi,0,balanced|beginner
Protein Shake 1714,snack,117,39.0,75.4,16.7,vegetarian,south_indian,1,muscle_gain|high_protein
Fish Fry 1715,dinner,482,12.8,67.0,24.0,non_vegetarian,hyderabadi,0,improve_stamina|carb_rich
Hyderabadi Biryani 1716,lunch,372,15.6,70.3,23.3,non_vegetarian,bengali,0,improve_stamina|carb_rich
Fish Curry Rice 1717,lunch,671,6.5,49.1,14.2,non_vegetarian,punjabi,0,weight_loss|light
Masala Omelette 1718,breakfast,150,8.5,22.2,15.4,non_vegetarian,mixed,1,balanced|beginner
Oats with Milk 1719,breakfast,436,19.1,35.5,3.8,vegetarian,gujarati,1,balanced|beginner
Pav Bhaji 1720,lunch,459,14.8,26.5,12.5,vegetarian,gujarati,1,balanced|beginner
Protein Shake 1721,snack,279,14.5,59.2,22.7,vegetarian,kerala,0,balanced|beginner
Mixed Veg Curry 1722,dinner,358,17.0,36.2,14.9,vegetarian,south_indian,1,weight_loss|light
Tofu Curry 1723,dinner,532,11.0,61.9,18.4,vegan,rajasthani,0,balanced|beginner
Dal Tadka 1724,dinner,541,14.7,71.0,14.8,vegetarian,bengali,0,weight_loss|light
Upma 1725,breakfast,230,6.9,21.1,16.9,vegetarian,gujarati,1,improve_stamina|carb_rich
Tofu Scramble 1726,breakfast,422,18.4,22.4,13.6,vegan,rajasthani,1,balanced|beginner
Fruit Bowl 1727,breakfast,198,14.5,43.0,3.7,vegan,kerala,1,balanced|beginner
Pav Bhaji 1728,lunch,589,16.8,26.2,18.8,vegetarian,north_indian,0,improve_stamina|carb_rich
Corn Chaat 1729,snack,158,5.4,24.2,12.5,vegan,gujarati,1,balanced|beginner
Tofu Stir Fry 1730,lunch,369,25.7,38.3,9.8,vegan,punjabi,1,muscle_gain|high_protein
